ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_pulse_count,tach_glitch_rejects,tach_timeout
154575,0.126,0.127,9.000,0.427,9.000,0.427,12.774,5.70,0.1942,0.083,0.000,19.42,5.70,13.72,1,0,0.00000,19.42,19.42,0.00,0,0,19.42,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,51.20,48.13,3.06,0.311,1.197,0.106,0.974,0.000,0.000,36.394,5.70,6,-0.3000,0,0.00,0.00,0,0,1
154713,0.133,0.132,9.000,3.004,9.000,3.004,29.346,22.80,0.4502,0.765,0.000,45.02,22.80,22.22,1,0,0.00000,45.02,45.02,0.00,0,0,42.18,0.00,2.85,8.50,0.80,1.000,1.127,2.85,1,60.00,1,62.54,57.54,5.00,0.315,1.190,0.942,3.852,-0.186,-0.024,298.713,22.80,23,-0.0000,11466,2616.43,2616.43,5,5,0
154850,0.135,0.133,9.000,5.086,9.000,5.086,20.058,39.90,0.6530,1.974,0.000,65.30,39.90,25.40,1,0,0.00000,65.30,65.30,0.00,0,0,59.86,0.00,5.43,8.50,1.00,1.000,1.160,5.43,1,60.00,1,71.94,66.94,5.00,0.301,1.090,2.384,6.753,-0.171,-0.044,384.283,39.90,40,-0.4000,12085,2482.42,2683.98,12,16,0
154984,0.138,0.138,9.000,6.453,9.000,6.453,13.080,57.00,0.7830,3.583,0.000,78.30,57.00,21.30,1,0,0.00000,78.30,78.30,0.00,0,0,71.46,0.00,6.84,8.50,1.00,1.000,1.160,6.84,1,60.00,1,81.35,76.35,5.00,0.285,0.972,4.247,9.640,-0.154,-0.059,441.493,57.00,57,-0.5000,8160,3676.47,2733.06,22,24,0
155119,0.154,0.149,9.000,7.343,9.000,7.343,8.511,74.10,0.8658,5.498,0.000,86.58,74.10,12.48,1,0,0.00000,86.58,86.58,0.00,0,0,78.99,0.00,7.60,8.50,0.98,1.000,1.157,7.60,0,255.00,1,90.75,85.75,5.00,0.273,0.853,6.405,12.481,-0.127,-0.069,485.263,74.10,74,-0.3000,12335,2432.10,2745.38,34,34,0
155248,0.172,0.166,9.000,7.922,9.000,7.922,5.537,91.20,0.9187,7.643,0.000,91.87,91.20,0.67,1,0,0.00000,91.87,91.87,0.00,0,0,83.86,0.00,8.01,8.50,0.65,1.000,1.103,8.01,0,255.00,1,100.00,95.16,5.00,0.267,0.738,8.757,15.295,-0.103,-0.074,518.571,91.20,91,0.2000,7781,3855.55,2987.86,46,45,0
155385,0.186,0.180,9.000,8.299,9.000,8.299,3.602,99.13,0.9913,9.748,0.000,99.13,99.13,0.00,0,0,-0.47744,99.13,99.13,0.00,0,0,90.90,0.00,8.23,8.48,0.34,1.000,1.054,8.23,0,255.00,1,100.00,99.52,5.00,0.233,0.477,10.986,16.597,-0.060,-0.075,558.869,99.13,100,-0.4116,7652,3920.54,3332.28,60,58,0
155514,3.368,1.949,9.000,8.544,9.000,8.544,2.343,96.34,0.9634,11.174,0.000,96.34,96.34,0.00,0,0,-0.67528,96.34,96.34,0.00,0,0,90.08,0.00,6.26,2.66,0.16,1.000,1.026,6.26,0,255.00,1,100.00,97.98,5.00,2.044,2.483,10.767,1.357,1.521,0.008,339.439,96.34,96,0.2598,7406,4050.77,3708.48,75,72,0
155649,8.864,7.770,9.000,8.703,9.000,8.703,1.524,73.39,0.4065,10.396,0.000,40.65,73.39,-32.73,0,1,-0.90217,40.65,40.65,0.00,0,0,36.71,0.00,3.94,0.80,0.07,1.000,1.012,3.94,0,255.00,1,90.36,85.36,5.00,7.838,8.156,7.612,0.000,1.118,0.080,9.289,73.39,73,0.3667,8104,3701.88,3771.17,91,82,0
155785,7.399,7.847,9.000,8.807,9.000,8.807,0.992,50.44,0.4104,8.939,0.000,41.04,50.44,-9.39,0,1,-0.95895,41.04,41.04,0.00,0,0,38.74,0.00,2.30,0.23,0.03,1.000,1.005,2.30,0,255.00,1,77.74,72.74,5.00,7.909,8.202,5.382,0.000,-0.562,0.049,14.559,50.44,51,-0.3764,9281,3232.41,3521.24,103,97,0
