# SHOT START
# legend_version=2
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered RPM intended for easier visual analysis
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_pulse_count,tach_glitch_rejects,tach_timeout
30468,0.000,0.000,1.100,0.100,1.100,0.100,3.335,5.70,0.1856,0.084,0.000,18.56,5.70,12.86,1,0,0.00000,18.56,18.56,0.00,0,0,18.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,16.62,15.75,0.87,0.059,0.349,0.107,0.978,0.000,0.000,2.072,5.70,6,-0.3000,0,0.00,0.00,0,0,1
30611,0.017,0.014,1.100,0.433,1.100,0.433,3.369,21.31,0.2131,0.750,0.000,21.31,21.31,0.00,0,0,-0.01256,21.31,21.31,0.00,0,0,21.31,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,29.64,26.94,2.70,0.094,0.488,0.909,3.565,-0.079,-0.009,2.915,21.31,22,-0.4908,1655,18126.89,17877.16,20,0,0
30745,0.329,0.207,1.100,0.665,1.100,0.665,2.231,21.23,0.2123,1.451,0.000,21.23,21.23,0.00,0,0,-0.05648,21.23,21.23,0.00,0,0,21.23,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.29,24.43,2.86,0.266,0.550,1.509,2.201,0.068,-0.008,2.424,21.23,21,-0.0176,1812,16556.29,15688.26,34,0,0
30881,0.511,0.459,1.100,0.817,1.100,0.817,1.453,17.79,0.1779,1.850,0.000,17.79,17.79,0.00,0,0,-0.09102,17.79,17.79,0.00,0,0,17.79,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,21.37,19.17,2.19,0.503,0.719,1.339,0.585,0.009,-0.003,1.182,17.79,18,-0.4384,19460,1541.62,12064.77,49,0,0
31009,0.403,0.437,1.100,0.916,1.100,0.916,0.945,20.64,0.2064,2.172,0.000,20.64,20.64,0.00,0,0,-0.12910,20.64,20.64,0.00,0,0,20.64,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,21.86,18.99,2.88,0.475,0.664,1.400,2.223,-0.077,-0.009,1.565,20.64,20,0.3591,1724,17401.39,12751.39,68,0,0
31144,0.438,0.428,1.100,0.980,1.100,0.980,0.615,22.20,0.2220,2.522,0.000,22.20,22.20,0.00,0,0,-0.17768,22.20,22.20,0.00,0,0,22.20,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.13,19.81,3.32,0.458,0.605,1.837,2.998,-0.022,-0.013,2.065,22.20,22,0.1240,13350,2247.19,12038.42,87,0,0
31272,0.544,0.523,1.100,1.022,1.100,1.022,0.400,21.15,0.2115,2.764,0.000,21.15,21.15,0.00,0,0,-0.22379,21.15,21.15,0.00,0,0,21.15,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.01,19.02,2.99,0.546,0.660,2.056,2.498,-0.002,-0.011,1.661,21.15,21,0.3839,1921,15616.87,12997.31,110,0,0
31410,0.548,0.546,1.100,1.049,1.100,1.049,0.260,21.45,0.2145,2.940,0.000,21.45,21.45,0.00,0,0,-0.26857,21.45,21.45,0.00,0,0,21.45,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.18,19.16,3.01,0.565,0.660,2.237,2.816,-0.018,-0.011,1.680,21.45,21,0.1047,1755,17094.02,15499.00,129,0,0
31538,0.537,0.538,1.100,1.067,1.100,1.067,0.169,22.34,0.2234,3.107,0.000,22.34,22.34,0.00,0,0,-0.31554,22.34,22.34,0.00,0,0,22.34,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.26,20.08,3.18,0.554,0.632,2.513,3.307,-0.018,-0.012,1.897,22.34,22,0.3135,1661,18061.41,14192.75,143,0,0
31638,0.569,0.557,1.100,1.075,1.100,1.075,0.127,22.28,0.2228,3.201,0.000,22.28,22.28,0.00,0,0,-0.34686,22.28,22.28,0.00,0,0,22.28,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.46,20.34,3.11,0.571,0.639,2.674,3.266,-0.002,-0.012,1.841,22.28,22,-0.0359,1481,20256.58,15810.27,154,0,0
31771,0.597,0.590,1.100,1.084,1.100,1.084,0.083,22.00,0.2200,3.302,0.000,22.00,22.00,0.00,0,0,-0.39183,22.00,22.00,0.00,0,0,22.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.41,20.44,2.97,0.602,0.659,2.822,3.177,-0.004,-0.010,1.694,22.00,22,0.1084,7728,3881.99,17431.34,166,0,0
31908,0.583,0.586,1.100,1.090,1.100,1.090,0.054,22.59,0.2259,3.390,0.000,22.59,22.59,0.00,0,0,-0.43665,22.59,22.59,0.00,0,0,22.59,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.14,21.11,3.03,0.597,0.648,2.983,3.486,-0.014,-0.011,1.780,22.59,22,0.1128,1179,25445.29,17385.88,181,0,0
32037,0.597,0.595,1.100,1.093,1.100,1.093,0.035,22.82,0.2282,3.473,0.000,22.82,22.82,0.00,0,0,-0.48172,22.82,22.82,0.00,0,0,22.82,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.64,21.63,3.01,0.604,0.648,3.147,3.560,-0.006,-0.010,1.778,22.82,22,0.3750,1133,26478.38,19654.23,199,0,0
32173,0.625,0.618,1.100,1.096,1.100,1.096,0.023,22.63,0.2263,3.533,0.000,22.63,22.63,0.00,0,0,-0.52532,22.63,22.63,0.00,0,0,22.63,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.64,21.76,2.88,0.626,0.666,3.245,3.454,-0.001,-0.009,1.651,22.63,22,0.4267,1666,18007.20,17497.39,216,0,0
32307,0.620,0.622,1.100,1.097,1.100,1.097,0.015,22.89,0.2289,3.580,0.000,22.89,22.89,0.00,0,0,-0.56793,22.89,22.89,0.00,0,0,22.89,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.96,22.10,2.87,0.630,0.669,3.324,3.582,-0.010,-0.009,1.632,22.89,23,-0.3634,1677,17889.09,15139.50,229,0,0
32441,0.620,0.621,1.100,1.098,1.100,1.098,0.010,23.31,0.2331,3.632,0.000,23.31,23.31,0.00,0,0,-0.61082,23.31,23.31,0.00,0,0,23.31,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.49,22.61,2.88,0.629,0.666,3.430,3.728,-0.009,-0.008,1.660,23.31,23,0.1532,1671,17953.32,13973.28,246,1,0
32569,0.641,0.636,1.100,1.099,1.100,1.099,0.006,23.26,0.2326,3.675,0.000,23.26,23.26,0.00,0,0,-0.65286,23.26,23.26,0.00,0,0,23.26,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.57,22.77,2.79,0.643,0.678,3.502,3.662,-0.001,-0.008,1.577,23.26,23,-0.0554,1651,18170.80,18225.87,267,1,0
32702,0.642,0.644,1.100,1.099,1.100,1.099,0.004,23.39,0.2339,3.708,0.000,23.39,23.39,0.00,0,0,-0.69382,23.39,23.39,0.00,0,0,23.39,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.72,22.97,2.75,0.651,0.685,3.547,3.702,-0.009,-0.007,1.527,23.39,24,-0.2420,2589,11587.49,17713.68,290,1,0
32837,0.644,0.647,1.100,1.099,1.100,1.099,0.003,23.65,0.2365,3.743,0.000,23.65,23.65,0.00,0,0,-0.73457,23.65,23.65,0.00,0,0,23.65,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.00,23.27,2.73,0.654,0.688,3.605,3.780,-0.010,-0.007,1.510,23.65,23,0.3829,5690,5272.41,17239.37,310,1,0
32970,0.664,0.658,1.100,1.100,1.100,1.100,0.002,23.68,0.2368,3.775,0.000,23.68,23.68,0.00,0,0,-0.77477,23.68,23.68,0.00,0,0,23.68,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.08,23.41,2.67,0.665,0.697,3.653,3.744,-0.000,-0.007,1.448,23.68,23,0.4997,1647,18214.94,16662.58,323,1,0
33102,0.672,0.670,1.100,1.100,1.100,1.100,0.001,23.75,0.2375,3.805,0.000,23.75,23.75,0.00,0,0,-0.82671,23.75,23.75,0.00,0,0,23.75,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.13,23.54,2.59,0.677,0.710,3.683,3.752,-0.005,-0.006,1.366,23.75,24,0.2294,1650,18181.82,15391.29,339,1,0
33202,0.667,0.668,1.100,1.100,1.100,1.100,0.001,24.03,0.2403,3.823,0.000,24.03,24.03,0.00,0,0,-0.85257,24.03,24.03,0.00,0,0,24.03,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.38,23.77,2.60,0.675,0.708,3.712,3.850,-0.008,-0.006,1.374,24.03,24,0.1284,1855,16172.51,15874.01,354,1,0
