ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_timeout
26901,12.000,12.000,9.000,3.906,9.000,3.906,-8.336,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-516.54,0.00,-516.54,0,1,-516.54,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,0.00,0.00,-5.00,12.000,12.000,0.000,0.000,0.000,0.000,667.872,0.00,0,0.0000,0,0.00,0.00,0.00,0.00,0,0,0,0,1
27005,0.051,1.342,9.000,5.076,9.000,5.076,18.041,11.40,0.5609,0.215,0.000,56.09,11.40,44.69,1,0,0.00000,56.09,56.09,0.00,0,0,53.24,0.00,2.85,8.50,1.00,1.000,1.160,2.85,1,60.00,1,56.27,51.27,5.00,1.358,1.434,4.270,15.771,-1.436,-0.080,310.353,11.40,11,0.1000,10084,2975.01,2975.01,0.00,2975.01,0,1,4,4,0
27141,0.052,0.191,9.000,6.428,9.000,6.428,13.143,28.50,0.7648,1.081,0.000,76.48,28.50,47.98,1,0,0.00000,76.48,76.48,0.00,0,0,71.05,0.00,5.43,8.50,1.00,1.000,1.160,5.43,1,60.00,1,65.68,60.67,5.00,0.172,0.083,8.260,18.823,-0.149,-0.080,525.268,28.50,28,0.5000,9014,3328.16,3081.19,0.00,3328.16,0,1,17,17,0
27274,0.336,0.233,9.000,7.326,9.000,7.326,8.596,45.60,0.8541,2.440,0.000,85.41,45.60,39.81,1,0,0.00000,85.41,85.41,0.00,0,0,78.57,0.00,6.84,8.50,0.99,1.000,1.158,6.84,0,255.00,1,75.08,70.08,5.00,0.187,0.000,11.880,21.089,0.155,-0.063,567.759,45.60,45,0.2000,7873,3810.49,4237.22,5450.11,5450.11,0,2,31,135,0
27412,1.642,1.244,9.000,7.911,9.000,7.911,5.594,62.70,0.8794,4.044,0.000,87.94,62.70,25.24,1,0,0.00000,87.94,87.94,0.00,0,0,80.34,0.00,7.60,8.50,0.66,1.000,1.105,7.60,0,255.00,1,84.49,79.49,5.00,1.218,1.096,14.170,18.450,0.476,-0.006,452.153,62.70,62,0.2000,6729,4458.31,4438.61,3497.58,3497.58,0,2,47,315,0
27543,3.887,3.089,9.000,8.292,9.000,8.292,3.639,79.80,0.8418,5.603,0.000,84.18,79.80,4.38,1,0,0.00000,84.18,84.18,0.00,0,0,76.17,0.00,8.01,8.50,0.34,1.000,1.055,8.01,0,255.00,1,93.89,88.89,5.00,3.162,3.506,12.688,3.746,0.853,0.075,232.492,79.80,80,-0.5000,6291,4768.72,3979.39,3497.58,3497.58,0,2,64,546,0
27676,6.614,5.912,9.000,8.539,9.000,8.539,2.367,64.77,0.6460,6.139,0.000,64.60,64.77,-0.17,0,1,-0.30141,64.60,64.60,0.00,0,0,58.41,0.00,6.19,2.74,0.16,1.000,1.026,6.19,0,255.00,1,85.62,80.62,5.00,5.984,6.322,8.971,0.000,0.696,0.080,60.751,64.77,65,0.1169,6623,4529.67,3933.79,4024.04,4024.04,0,2,78,784,0
27812,5.953,6.354,9.000,8.700,9.000,8.700,1.540,58.71,0.6065,5.921,0.000,60.65,58.71,1.93,1,0,-0.41728,60.65,60.65,0.00,0,0,56.73,0.00,3.92,0.82,0.07,1.000,1.012,3.92,0,255.00,1,82.29,77.29,5.00,6.439,6.837,6.342,0.000,-0.521,0.053,45.448,58.71,59,-0.0336,7309,4104.53,3993.93,4024.04,4104.53,1,1,93,1104,0
27945,4.380,4.630,9.000,8.805,9.000,8.805,1.002,75.81,0.7959,6.388,0.000,79.59,75.81,3.77,1,0,-0.41728,79.59,79.59,0.00,0,0,77.30,0.00,2.29,0.24,0.03,1.000,1.005,2.29,0,255.00,1,91.70,86.70,5.00,4.683,4.929,6.465,10.416,-0.338,-0.036,136.936,75.81,76,0.3107,6347,4726.64,4302.12,4514.39,4726.64,1,1,111,1351,0
28086,6.444,5.930,9.000,8.873,9.000,8.873,0.652,71.30,0.7130,6.794,0.000,71.30,71.30,0.00,0,0,-0.73299,71.30,71.30,0.00,0,0,70.01,0.00,1.29,0.07,0.01,1.000,1.002,1.29,0,255.00,1,89.21,84.21,5.00,6.015,6.412,5.803,0.000,0.499,0.018,61.773,71.30,71,-0.1359,8488,3534.40,4641.50,5902.00,5902.00,0,2,125,1615,0
