ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_residual,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
728211,0.000,0.000,1.100,0.100,1.100,0.100,3.335,5.70,0.1856,0.084,0.000,18.56,5.70,12.86,1,0,0.00000,18.56,18.56,0.00,0,0,18.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,16.56,15.69,0.87,0.059,0.351,0.084,0.000,2.051,5.70,6,-0.3000
728346,0.000,0.000,1.100,0.433,1.100,0.433,3.369,21.46,0.2146,0.753,0.000,21.46,21.46,0.00,0,0,-0.01298,21.46,21.46,0.00,0,0,21.46,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,29.31,26.60,2.71,0.092,0.539,0.753,-0.089,2.567,21.46,22,-0.3409
728483,0.000,0.000,1.100,0.665,1.100,0.665,2.231,23.84,0.2384,1.514,0.000,23.84,23.84,0.00,0,0,-0.06653,23.84,23.84,0.00,0,0,23.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,29.89,25.88,4.02,0.077,0.456,1.514,-0.082,3.584,23.84,24,-0.0467
728608,0.000,0.000,1.100,0.817,1.100,0.817,1.453,25.68,0.2568,2.176,0.000,25.68,25.68,0.00,0,0,-0.13595,25.68,25.68,0.00,0,0,25.68,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,30.71,25.84,4.87,0.066,0.390,2.176,-0.070,4.555,25.68,25,0.2478
728740,0.000,0.000,1.100,0.916,1.100,0.916,0.945,27.14,0.2714,2.746,0.000,27.14,27.14,0.00,0,0,-0.21571,27.14,27.14,0.00,0,0,27.14,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,31.34,26.34,5.00,0.056,0.331,2.746,-0.059,5.404,27.14,27,0.2781
728871,0.000,0.000,1.100,0.980,1.100,0.980,0.615,28.38,0.2838,3.233,0.000,28.38,28.38,0.00,0,0,-0.30219,28.38,28.38,0.00,0,0,28.38,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,32.14,27.14,5.00,0.049,0.287,3.233,-0.051,6.084,28.38,28,0.2196
729001,0.000,0.000,1.100,1.022,1.100,1.022,0.400,29.46,0.2946,3.650,0.000,29.46,29.46,0.00,0,0,-0.39305,29.46,29.46,0.00,0,0,29.46,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,33.10,28.10,5.00,0.043,0.255,3.650,-0.045,6.599,29.46,30,-0.4640
729126,0.000,0.000,1.100,1.049,1.100,1.049,0.260,30.43,0.3043,4.010,0.000,30.43,30.43,0.00,0,0,-0.48675,30.43,30.43,0.00,0,0,30.43,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,70.00,1,34.12,29.12,5.00,0.039,0.232,4.010,-0.041,6.980,30.43,31,-0.1219
729255,0.000,0.000,1.100,1.067,1.100,1.067,0.169,31.35,0.3135,4.322,0.000,31.35,31.35,0.00,0,0,-0.58230,31.35,31.35,0.00,0,0,31.35,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,35.17,30.17,5.00,0.037,0.215,4.322,-0.037,7.262,31.35,31,0.0189
729376,0.000,0.000,1.100,1.079,1.100,1.079,0.110,32.22,0.3222,4.596,0.000,32.22,32.22,0.00,0,0,-0.67906,32.22,32.22,0.00,0,0,32.22,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,36.20,31.20,5.00,0.035,0.203,4.596,-0.035,7.468,32.22,32,-0.1893
729510,0.000,0.000,1.100,1.086,1.100,1.086,0.072,33.06,0.3306,4.840,0.000,33.06,33.06,0.00,0,0,-0.77660,33.06,33.06,0.00,0,0,33.06,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,37.21,32.21,5.00,0.033,0.194,4.840,-0.034,7.620,33.06,33,0.1574
729634,0.000,0.000,1.100,1.091,1.100,1.091,0.047,33.89,0.3389,5.059,0.000,33.89,33.89,0.00,0,0,-0.87465,33.89,33.89,0.00,0,0,33.89,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,38.20,33.20,5.00,0.032,0.187,5.059,-0.032,7.733,33.89,34,-0.0035
729768,0.000,0.000,1.100,1.094,1.100,1.094,0.030,34.70,0.3470,5.260,0.000,34.70,34.70,0.00,0,0,-0.97304,34.70,34.70,0.00,0,0,34.70,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,39.15,34.15,5.00,0.031,0.182,5.260,-0.031,7.816,34.70,34,0.2874
729892,0.000,0.000,1.100,1.096,1.100,1.096,0.020,35.51,0.3551,5.447,0.000,35.51,35.51,0.00,0,0,-1.07163,35.51,35.51,0.00,0,0,35.51,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,40.09,35.09,5.00,0.031,0.179,5.447,-0.031,7.877,35.51,36,0.0034
730021,0.000,0.000,1.100,1.098,1.100,1.098,0.013,36.31,0.3631,5.621,0.000,36.31,36.31,0.00,0,0,-1.17037,36.31,36.31,0.00,0,0,36.31,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,41.00,36.00,5.00,0.030,0.177,5.621,-0.030,7.922,36.31,36,0.1275
730144,0.001,0.001,1.100,1.098,1.100,1.098,0.008,37.10,0.3710,5.787,0.000,37.10,37.10,0.00,0,0,-1.26919,37.10,37.10,0.00,0,0,37.10,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,41.89,36.89,5.00,0.031,0.175,5.787,-0.029,7.947,37.10,37,-0.3559
730277,0.015,0.010,1.100,1.099,1.100,1.099,0.005,37.82,0.3782,5.943,0.000,37.82,37.82,0.00,0,0,-1.36758,37.82,37.82,0.00,0,0,37.82,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,42.69,37.69,5.00,0.040,0.183,5.934,-0.025,7.828,37.82,37,0.4301
730402,0.044,0.036,1.100,1.099,1.100,1.099,0.004,38.41,0.3841,6.086,0.000,38.41,38.41,0.00,0,0,-1.46405,38.41,38.41,0.00,0,0,38.41,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,43.31,38.31,5.00,0.065,0.207,6.039,-0.020,7.460,38.41,38,0.0846
730533,0.196,0.140,1.100,1.100,1.100,1.100,0.002,38.33,0.3833,6.197,0.000,38.33,38.33,0.00,0,0,-1.55478,38.33,38.33,0.00,0,0,38.33,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,43.24,38.24,5.00,0.168,0.304,6.034,0.033,6.045,38.33,39,-0.4781
730657,0.524,0.431,1.100,1.100,1.100,1.100,0.001,35.63,0.3563,6.188,0.000,35.63,35.63,0.00,0,0,-1.62479,35.63,35.63,0.00,0,0,35.63,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,39.57,35.60,3.97,0.451,0.551,5.626,0.078,2.945,35.63,36,-0.0259
730790,0.923,0.811,1.100,1.100,1.100,1.100,0.001,25.74,0.2574,5.869,0.000,25.74,25.74,0.00,0,0,-1.66244,25.74,25.74,0.00,0,0,25.74,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,29.11,27.35,1.76,0.813,0.820,4.638,0.114,0.775,25.74,26,-0.4416
730915,1.101,1.070,1.100,1.100,1.100,1.100,0.001,14.66,0.1466,5.086,0.000,14.66,14.66,0.00,0,0,-1.66963,14.66,14.66,0.00,0,0,14.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,18.39,18.13,0.27,1.057,0.991,3.540,0.050,0.229,14.66,14,0.2373
731046,0.741,0.824,1.100,1.100,1.100,1.100,0.000,25.43,0.2543,4.682,0.000,25.43,25.43,0.00,0,0,-1.68582,25.43,25.43,0.00,0,0,25.43,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.51,22.92,1.59,0.841,0.927,3.143,-0.098,0.354,25.43,25,0.4477
731174,0.683,0.692,1.100,1.100,1.100,1.100,0.000,30.58,0.3058,4.723,0.000,30.58,30.58,0.00,0,0,-1.72055,30.58,30.58,0.00,0,0,30.58,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,29.42,27.08,2.35,0.717,0.842,3.608,-0.036,0.774,30.58,31,-0.3657
731306,0.976,0.887,1.100,1.100,1.100,1.100,0.000,23.10,0.2310,4.613,0.000,23.10,23.10,0.00,0,0,-1.74705,23.10,23.10,0.00,0,0,23.10,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.30,23.04,1.27,0.893,0.922,3.634,0.082,0.304,23.10,23,0.0764
