# SHOT START
# legend_version=4
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_capture_enabled_cfg = 1 when MCPWM capture is enabled by configuration
# tach_capture_init_ok = 1 when MCPWM capture initialized successfully
# tach_capture_active = 1 after MCPWM capture has observed events in this run
# tach_capture_event_count = number of capture ISR events seen since last reset
# tach_capture_last_period_us = most recent MCPWM capture period converted to microseconds
# tach_capture_last_edge = last capture edge enum reported by MCPWM
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_capture_enabled_cfg,tach_capture_init_ok,tach_capture_active,tach_capture_event_count,tach_capture_last_period_us,tach_capture_last_edge,tach_timeout
100394,6.742,6.892,9.000,8.996,9.000,8.996,0.020,66.39,0.7000,5.024,0.000,70.00,66.39,3.61,1,0,-1.47337,70.00,70.00,0.00,0,0,69.99,0.00,0.01,0.00,0.00,1.000,1.000,0.01,0,255.00,1,74.36,69.36,5.00,6.894,6.906,4.603,10.905,-0.171,-0.040,35.934,66.39,66,0.4601,6600,4545.45,3238.09,3224.91,4798.04,1.488,3224.91,0,2,250,2642,0,1,1,1,2886,6468,1,0,0
100498,7.699,7.323,9.000,8.997,9.000,8.997,0.015,64.73,0.6473,5.154,0.000,64.73,64.73,0.00,0,0,-1.58622,64.73,64.73,0.00,0,0,64.72,0.00,0.01,0.00,0.00,1.000,1.000,0.01,0,255.00,1,78.29,73.29,5.00,7.332,7.375,5.291,5.787,0.410,-0.018,23.716,64.73,65,-0.1269,6946,4319.03,3233.35,3224.91,4798.04,1.488,3224.91,0,2,261,2825,0,1,1,1,3080,3237,1,0,0
100637,8.827,8.643,9.000,8.998,9.000,8.998,0.010,41.78,0.3858,4.759,0.000,38.58,41.78,-3.20,0,1,-1.64305,38.58,38.58,0.00,0,0,38.58,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,51.57,49.62,1.96,8.675,8.830,3.741,0.000,0.171,0.038,1.588,41.78,42,0.1621,7004,4283.27,3234.71,3236.14,4814.75,1.488,3236.14,0,2,277,3156,0,1,1,1,3426,1061,1,0,0
100777,7.480,7.868,9.000,8.999,9.000,8.999,0.006,49.74,0.5532,4.397,0.000,55.32,49.74,5.58,1,0,-1.65285,55.32,55.32,0.00,0,0,55.32,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,55.12,50.12,5.00,7.885,7.967,3.198,4.687,-0.454,-0.005,9.397,49.74,49,0.2829,7631,3931.33,3235.41,3236.14,4814.75,1.488,3236.14,0,2,293,3400,0,1,1,1,3686,2811,1,0,0
100913,6.587,6.747,9.000,8.999,9.000,8.999,0.004,66.84,0.7479,4.636,0.000,74.79,66.84,7.95,1,0,-1.65285,74.79,74.79,0.00,0,0,74.79,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,80.13,75.13,5.00,6.735,6.675,5.401,11.308,-0.165,-0.052,44.544,66.84,67,-0.2963,6848,4380.84,3316.59,3640.25,4063.54,1.116,3640.25,0,2,310,3568,0,1,1,1,3871,6483,1,0,0
101013,7.580,7.193,9.000,8.999,9.000,8.999,0.003,68.86,0.6886,4.892,0.000,68.86,68.86,0.00,0,0,-1.70705,68.86,68.86,0.00,0,0,68.86,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,87.02,82.02,5.00,7.192,7.186,6.216,7.636,0.435,-0.027,30.223,68.86,69,0.1038,8439,3554.92,3416.04,3640.25,4063.54,1.116,3554.92,1,1,319,3688,0,1,1,1,4000,4252,1,0,0
101150,9.030,8.736,9.000,9.000,9.000,9.000,0.002,45.91,0.3954,4.632,0.000,39.54,45.91,-6.37,0,1,-1.76600,39.54,39.54,0.00,0,0,39.54,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,58.55,57.13,1.42,8.764,8.898,4.489,0.000,0.298,0.041,2.120,45.91,46,-0.2165,6380,4702.19,3525.46,3640.25,4063.54,1.116,3640.25,0,2,334,4215,0,1,1,1,4542,1769,1,0,0
101250,8.398,8.560,9.000,9.000,9.000,9.000,0.002,42.52,0.4252,4.328,0.000,42.52,42.52,0.00,0,0,-1.78699,42.52,42.52,0.00,0,0,42.52,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,51.19,48.69,2.50,8.586,8.710,3.562,0.000,-0.204,0.027,1.819,42.52,43,-0.0457,8296,3616.20,3561.97,3640.25,4063.54,1.116,3616.20,1,1,343,4714,0,1,1,1,5050,1668,1,0,0
101350,7.228,7.608,9.000,9.000,9.000,9.000,0.001,53.92,0.6280,4.272,0.000,62.80,53.92,8.87,1,0,-1.78699,62.80,62.80,0.00,0,0,62.80,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.17,58.17,5.00,7.611,7.627,4.015,7.533,-0.433,-0.019,16.242,53.92,54,0.1039,7635,3929.27,3315.79,2878.13,4392.94,1.526,2878.13,0,2,353,4911,0,1,1,1,5256,1496,1,0,0
101484,7.006,6.998,9.000,9.000,9.000,9.000,0.001,71.02,0.7316,4.612,0.000,73.16,71.02,2.13,1,0,-1.78699,73.16,73.16,0.00,0,0,73.16,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,86.82,81.82,5.00,6.990,6.955,6.022,10.932,0.021,-0.041,36.029,71.02,71,0.0783,6588,4553.73,3102.21,2878.13,4392.94,1.526,2878.13,0,2,369,5073,0,1,1,1,5434,3523,1,0,0
101588,8.167,7.802,9.000,9.000,9.000,9.000,0.001,60.38,0.6038,4.695,0.000,60.38,60.38,0.00,0,0,-1.87093,60.38,60.38,0.00,0,0,60.38,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,79.25,74.25,5.00,7.808,7.838,5.782,2.942,0.402,-0.002,15.285,60.38,61,-0.1904,9340,3211.99,3021.55,2878.13,4392.94,1.526,2878.13,0,2,380,5306,0,1,1,1,5678,2279,1,0,0
101726,8.815,8.737,9.000,9.000,9.000,9.000,0.000,42.26,0.4226,4.335,0.000,42.26,42.26,0.00,0,0,-1.90841,42.26,42.26,0.00,0,0,42.26,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,53.71,52.26,1.44,8.762,8.880,4.088,0.000,0.064,0.036,1.802,42.26,42,-0.1115,7806,3843.20,3117.13,3338.04,4291.77,1.286,3338.04,0,2,395,5814,0,1,1,1,6200,8440,1,0,0
101829,7.866,8.144,9.000,9.000,9.000,9.000,0.000,52.42,0.5399,4.210,0.000,53.99,52.42,1.57,1,0,-1.92492,53.99,53.99,0.00,0,0,53.99,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,59.47,54.47,5.00,8.165,8.264,3.612,3.369,-0.330,0.004,5.385,52.42,52,0.0250,10334,2903.04,3196.66,3338.04,4291.77,1.286,3338.04,0,2,403,6188,0,1,1,1,6582,2550,1,0,0
101964,7.098,7.208,9.000,9.000,9.000,9.000,0.000,69.52,0.7198,4.473,0.000,71.98,69.52,2.46,1,0,-1.92492,71.98,71.98,0.00,0,0,71.98,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,81.54,76.54,5.00,7.204,7.185,5.397,10.616,-0.118,-0.037,27.889,69.52,69,0.4797,6758,4439.18,3265.65,3338.04,4291.77,1.286,3338.04,0,2,420,6448,0,1,1,1,6859,6758,1,0,0
102068,8.099,7.806,9.000,9.000,9.000,9.000,0.000,62.56,0.6256,4.592,0.000,62.56,62.56,0.00,0,0,-2.00627,62.56,62.56,0.00,0,0,62.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,78.71,73.71,5.00,7.811,7.836,5.537,4.450,0.322,-0.007,14.141,62.56,62,0.0899,7151,4195.22,3273.70,3248.00,4357.07,1.341,3248.00,0,2,431,6742,0,1,1,1,7164,2426,1,0,0
102204,8.940,8.808,9.000,9.000,9.000,9.000,0.000,43.79,0.4379,4.285,0.000,43.79,43.79,0.00,0,0,-2.04168,43.79,43.79,0.00,0,0,43.79,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,52.88,51.87,1.01,8.832,8.951,3.915,0.000,0.124,0.034,1.077,43.79,44,0.0512,7067,4245.08,3261.16,3248.00,4357.07,1.341,3248.00,0,2,446,7345,0,1,1,1,7781,5016,1,0,0
102308,8.141,8.362,9.000,9.000,9.000,9.000,0.000,51.56,0.5156,4.146,0.000,51.56,51.56,0.00,0,0,-2.07267,51.56,51.56,0.00,0,0,51.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,55.99,52.26,3.73,8.384,8.492,3.368,2.392,-0.268,0.009,2.651,51.56,52,-0.5000,7061,4248.69,3256.42,3248.00,4357.07,1.341,3248.00,0,2,457,7705,0,1,1,1,8152,6324,1,0,0
102447,7.217,7.363,9.000,9.000,9.000,9.000,0.000,68.66,0.7174,4.374,0.000,71.74,68.66,3.08,1,0,-2.07267,71.74,71.74,0.00,0,0,71.74,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,78.73,73.73,5.00,7.359,7.340,5.068,10.383,-0.160,-0.035,23.073,68.66,68,0.3736,6788,4419.56,3268.84,3330.65,4440.87,1.333,3330.65,0,2,473,7954,0,1,1,1,8417,1661,1,0,0
102552,8.075,7.813,9.000,9.000,9.000,9.000,0.000,64.86,0.6486,4.531,0.000,64.86,64.86,0.00,0,0,-2.15255,64.86,64.86,0.00,0,0,64.86,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,79.61,74.61,5.00,7.816,7.828,5.486,5.563,0.289,-0.012,13.684,64.86,65,-0.1145,8867,3383.33,3301.63,3330.65,4440.87,1.333,3383.33,1,1,483,8249,0,1,1,1,8721,1015,1,0,0
102686,9.004,8.850,9.000,9.000,9.000,9.000,0.000,46.00,0.4600,4.274,0.000,46.00,46.00,0.00,0,0,-2.18714,46.00,46.00,0.00,0,0,46.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,54.10,53.33,0.77,8.873,8.982,3.949,0.000,0.151,0.032,0.828,46.00,46,-0.3474,6648,4512.64,3315.79,3330.65,4440.87,1.333,3330.65,0,2,496,9088,0,1,1,1,9573,1018,1,0,0
102789,8.366,8.541,9.000,9.000,9.000,9.000,0.000,50.64,0.5064,4.120,0.000,50.64,50.64,0.00,0,0,-2.20890,50.64,50.64,0.00,0,0,50.64,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,53.90,51.26,2.64,8.563,8.670,3.297,1.499,-0.216,0.013,1.232,50.64,51,0.0967,10621,2824.59,3321.14,3330.65,4440.87,1.333,3330.65,0,2,504,9541,0,1,1,1,10034,1753,1,0,0
102893,7.380,7.725,9.000,9.000,9.000,9.000,0.000,62.04,0.6749,4.191,0.000,67.49,62.04,5.45,1,0,-2.20890,67.49,67.49,0.00,0,0,67.49,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,68.64,63.64,5.00,7.726,7.732,4.159,9.005,-0.392,-0.025,13.425,62.04,62,0.4764,6514,4605.47,3055.51,2583.29,4059.45,1.571,2583.29,0,2,514,9806,0,1,1,1,10308,2827,1,0,0
103032,7.934,7.772,9.000,9.000,9.000,9.000,0.000,67.91,0.6791,4.495,0.000,67.91,67.91,0.00,0,0,-2.28796,67.91,67.91,0.00,0,0,67.91,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,81.39,76.39,5.00,7.771,7.767,5.499,7.100,0.180,-0.019,14.309,67.91,68,-0.2772,7758,3866.98,2825.07,2583.29,4059.45,1.571,2583.29,0,2,528,10113,0,1,1,1,10629,2448,1,0,0
103168,9.071,8.868,9.000,9.000,9.000,9.000,0.000,48.45,0.4845,4.298,0.000,48.45,48.45,0.00,0,0,-2.32648,48.45,48.45,0.00,0,0,48.45,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,56.59,55.92,0.68,8.888,8.982,4.123,0.000,0.209,0.029,0.827,48.45,48,0.0481,7031,4266.82,2707.08,2583.29,4059.45,1.571,2583.29,0,2,544,11045,0,1,1,1,11577,6621,1,0,0
103308,7.994,8.335,9.000,9.000,9.000,9.000,0.000,56.59,0.5701,4.127,0.000,57.01,56.59,0.42,1,0,-2.34010,57.01,57.01,0.00,0,0,57.01,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,59.57,55.64,3.93,8.351,8.428,3.454,4.432,-0.398,-0.001,2.995,56.59,57,-0.4615,8752,3427.79,2945.29,3195.22,4473.31,1.400,3195.22,0,2,557,11727,0,1,1,1,12271,1966,1,0,0
103446,7.745,7.787,9.000,9.000,9.000,9.000,0.000,69.09,0.6909,4.361,4.287,69.09,69.09,0.00,0,0,-2.37649,69.09,69.09,0.00,0,0,69.09,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,77.69,72.69,5.00,7.787,7.786,4.887,8.800,-0.049,-0.025,12.666,69.09,70,-0.4750,6236,4810.78,3067.26,3195.22,4473.31,1.400,3195.22,0,2,572,12032,0,1,1,1,12591,2784,1,0,0
103589,9.029,8.780,9.000,9.000,9.000,9.000,0.000,51.62,0.5162,4.283,4.286,51.62,51.62,0.00,0,0,-2.42693,51.62,51.62,0.00,0,0,51.62,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,58.71,57.48,1.24,8.796,8.870,4.098,0.000,0.264,0.020,0.807,51.62,52,0.0130,8692,3451.45,3135.93,3198.78,5050.70,1.579,3198.78,0,2,586,12752,0,1,1,1,13325,3599,1,0,1082732074
103727,8.349,8.564,9.000,9.000,9.000,9.000,0.000,54.85,0.5485,4.099,4.269,54.85,54.85,0.00,0,0,-2.45055,54.85,54.85,0.00,0,0,54.85,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,55.76,53.22,2.53,8.582,8.667,3.249,2.934,-0.258,0.005,1.082,54.85,55,0.2008,7312,4102.84,3166.60,3198.78,5050.70,1.579,3198.78,0,2,601,13515,0,1,1,1,14102,1303,1,0,1082729413
103829,7.895,8.107,9.000,9.000,9.000,9.000,0.000,64.79,0.6479,4.169,4.259,64.79,64.79,0.00,0,0,-2.49714,64.79,64.79,0.00,0,0,64.79,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,68.19,63.19,5.00,8.116,8.156,3.883,7.334,-0.246,-0.017,6.046,64.79,65,0.2369,6889,4354.77,3178.19,3198.78,5050.70,1.579,3198.78,0,2,612,13765,0,1,1,1,14363,6957,1,0,1082695046
103932,8.238,8.148,9.000,9.000,9.000,9.000,0.000,64.86,0.6486,4.285,4.255,64.86,64.86,0.00,0,0,-2.55118,64.86,64.86,0.00,0,0,64.86,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,72.54,67.54,5.00,8.153,8.174,4.489,6.196,0.093,-0.014,6.268,64.86,65,-0.4539,11407,2629.96,3185.60,3198.78,5050.70,1.579,3198.78,0,2,622,14050,0,1,1,1,14658,2790,1,0,1082673908
104032,8.932,8.701,9.000,9.000,9.000,9.000,0.000,55.52,0.5552,4.221,4.250,55.52,55.52,0.00,0,0,-2.57671,55.52,55.52,0.00,0,0,55.52,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.44,58.71,1.73,8.714,8.776,3.969,0.983,0.247,0.011,0.782,55.52,56,-0.3893,8375,3582.09,3096.98,2939.43,3747.77,1.275,2939.43,0,2,631,14550,0,1,1,1,15166,2960,1,0,1082665530
104137,8.796,8.797,9.000,9.000,9.000,9.000,0.000,54.52,0.5452,4.117,4.240,54.52,54.52,0.00,0,0,-2.58882,54.52,54.52,0.00,0,0,54.52,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,54.66,53.55,1.11,8.816,8.907,3.320,1.056,-0.019,0.013,0.137,54.52,55,-0.4775,10037,2988.94,3050.16,2939.43,3747.77,1.275,2988.94,1,1,641,14997,0,1,1,1,15623,3630,1,0,1082655748
104273,8.245,8.363,9.000,9.000,9.000,9.000,0.000,61.66,0.6166,4.112,4.223,61.66,61.66,0.00,0,0,-2.63280,61.66,61.66,0.00,0,0,61.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.32,59.52,3.80,8.372,8.418,3.607,5.613,-0.142,-0.009,2.902,61.66,62,0.1285,6481,4628.92,3003.74,2939.43,3747.77,1.275,2939.43,0,2,655,15524,0,1,1,1,16164,4132,1,0,1082634742
104380,8.410,8.367,9.000,9.000,9.000,9.000,0.000,62.27,0.6227,4.170,4.215,62.27,62.27,0.00,0,0,-2.67215,62.27,62.27,0.00,0,0,62.27,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.43,62.64,3.79,8.374,8.404,4.000,5.210,0.039,-0.009,3.162,62.27,62,0.3571,7482,4009.62,3010.93,3091.13,4173.03,1.350,3091.13,0,2,666,15895,0,1,1,1,16546,4252,1,0,1082598418
104516,8.860,8.764,9.000,9.000,9.000,9.000,0.000,57.17,0.5717,4.117,4.203,57.17,57.17,0.00,0,0,-2.70414,57.17,57.17,0.00,0,0,57.17,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,58.30,56.95,1.34,8.778,8.843,3.594,1.806,0.095,0.008,0.282,57.17,57,-0.2745,8095,3705.99,3050.07,3091.13,4173.03,1.350,3091.13,0,2,680,16587,0,1,1,1,17251,5323,1,0,1082582290
104623,8.713,8.733,9.000,9.000,9.000,9.000,0.000,57.85,0.5785,4.070,4.192,57.85,57.85,0.00,0,0,-2.71950,57.85,57.85,0.00,0,0,57.85,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,57.18,55.65,1.53,8.747,8.816,3.358,2.668,-0.036,0.005,0.361,57.85,58,0.0057,11763,2550.37,3064.85,3091.13,4173.03,1.350,3091.13,0,2,689,17017,0,1,1,1,17690,1700,1,0,1082556494
104759,8.499,8.539,9.000,9.000,9.000,9.000,0.000,60.83,0.6083,4.077,4.175,60.83,60.83,0.00,0,0,-2.75601,60.83,60.83,0.00,0,0,60.83,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.80,59.06,2.74,8.547,8.586,3.607,4.678,-0.055,-0.006,1.480,60.83,61,-0.1751,7338,4088.31,3064.84,3026.93,5496.27,1.816,3026.93,0,2,704,17665,0,1,1,1,18353,7338,1,0,1082532520
104864,8.631,8.587,9.000,9.000,9.000,9.000,0.000,60.78,0.6078,4.094,4.166,60.78,60.78,0.00,0,0,-2.78225,60.78,60.78,0.00,0,0,60.78,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.60,60.14,2.46,8.594,8.628,3.764,4.143,0.041,-0.004,1.223,60.78,61,-0.3045,9302,3225.11,3070.82,3026.93,5496.27,1.816,3026.93,0,2,713,18071,0,1,1,1,18767,1679,1,0,1082496990
104966,8.769,8.718,9.000,9.000,9.000,9.000,0.000,59.59,0.5959,4.081,4.156,59.59,59.59,0.00,0,0,-2.80086,59.59,59.59,0.00,0,0,59.59,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.43,58.78,1.65,8.727,8.773,3.664,3.091,0.047,0.002,0.487,59.59,59,0.3853,10184,2945.80,3038.79,3026.93,5496.27,1.816,2945.80,1,1,723,18512,0,1,1,1,19218,2672,1,0,1082477537
105067,8.728,8.733,9.000,9.000,9.000,9.000,0.000,59.87,0.5987,4.056,4.141,59.87,59.87,0.00,0,0,-2.82475,59.87,59.87,0.00,0,0,59.87,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,59.61,58.06,1.55,8.743,8.790,3.540,3.382,-0.016,0.001,0.416,59.87,59,0.4757,10652,2816.37,3033.80,3026.93,5496.27,1.816,3026.93,0,2,732,18927,0,1,1,1,19642,6479,1,0,1082458007
105171,8.734,8.735,9.000,9.000,9.000,9.000,0.000,60.14,0.6014,4.047,4.131,60.14,60.14,0.00,0,0,-2.84057,60.14,60.14,0.00,0,0,60.14,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,59.71,58.17,1.55,8.745,8.789,3.534,3.564,-0.012,-0.000,0.418,60.14,61,-0.4122,12897,2326.12,2903.85,2672.84,3887.76,1.455,2672.84,0,2,742,19403,0,1,1,1,20127,7491,1,0,1082426044
105272,8.733,8.727,9.000,9.000,9.000,9.000,0.000,60.56,0.6056,4.045,4.121,60.56,60.56,0.00,0,0,-2.85713,60.56,60.56,0.00,0,0,60.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.34,58.74,1.60,8.736,8.775,3.583,3.769,-0.002,-0.001,0.461,60.56,61,-0.3808,9837,3049.71,2820.69,2672.84,3887.76,1.455,2672.84,0,2,751,19831,0,1,1,1,20564,1672,1,0,1082404255
105376,8.742,8.731,9.000,9.000,9.000,9.000,0.000,60.83,0.6083,4.047,4.111,60.83,60.83,0.00,0,0,-2.87360,60.83,60.83,0.00,0,0,60.83,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.87,59.29,1.58,8.739,8.774,3.639,3.825,0.004,-0.002,0.460,60.83,61,0.2514,10178,2947.53,2767.46,2672.84,3887.76,1.455,2672.84,0,2,759,20259,0,1,1,1,21000,8485,1,0,1082383277
105477,8.782,8.768,9.000,9.000,9.000,9.000,0.000,60.66,0.6066,4.043,4.102,60.66,60.66,0.00,0,0,-2.88799,60.66,60.66,0.00,0,0,60.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.56,59.20,1.36,8.775,8.811,3.640,3.607,0.008,-0.000,0.329,60.66,61,-0.3689,10437,2874.39,2711.08,2561.26,4098.02,1.600,2561.26,0,2,767,20629,0,1,1,1,21378,5101,1,0,1082363621
105578,8.760,8.766,9.000,9.000,9.000,9.000,0.000,60.96,0.6096,4.040,4.094,60.96,60.96,0.00,0,0,-2.90184,60.96,60.96,0.00,0,0,60.96,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.83,59.46,1.37,8.773,8.806,3.654,3.767,-0.014,-0.001,0.343,60.96,61,0.3296,6521,4600.52,2657.15,2561.26,4098.02,1.600,2561.26,0,2,778,21025,0,1,1,1,21784,6521,1,0,1082344768
105683,8.807,8.789,9.000,9.000,9.000,9.000,0.000,60.94,0.6094,4.039,4.085,60.94,60.94,0.00,0,0,-2.91515,60.94,60.94,0.00,0,0,60.94,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.80,59.56,1.24,8.795,8.827,3.669,3.663,0.014,-0.001,0.275,60.94,61,0.3381,8951,3351.58,2622.63,2561.26,4098.02,1.600,2561.26,0,2,786,21644,0,1,1,1,22411,5134,1,0,1082326592
105784,8.792,8.788,9.000,9.000,9.000,9.000,0.000,61.19,0.6119,4.038,4.078,61.19,61.19,0.00,0,0,-2.92795,61.19,61.19,0.00,0,0,61.19,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.09,59.85,1.24,8.795,8.824,3.690,3.780,-0.003,-0.001,0.280,61.19,62,-0.3590,10433,2875.49,2600.54,2561.26,4098.02,1.600,2561.26,0,2,795,22245,0,1,1,1,23021,2514,1,0,1082309434
