# SHOT START
# legend_version=1
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_residual,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
73218,0.000,0.000,1.100,0.100,1.100,0.100,3.335,5.70,0.1856,0.084,0.000,18.56,5.70,12.86,1,0,0.00000,18.56,18.56,0.00,0,0,18.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,16.56,15.69,0.87,0.059,0.351,0.084,0.000,2.051,5.70,6,-0.3000
73322,0.000,0.000,1.100,0.332,1.100,0.332,3.764,17.10,0.2051,0.477,0.000,20.51,17.10,3.41,1,0,0.00000,20.51,20.51,0.00,0,0,20.51,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.02,24.84,2.18,0.089,0.525,0.477,-0.080,2.712,17.10,17,0.2000
73448,0.061,0.041,1.100,0.598,1.100,0.598,2.571,22.71,0.2271,1.261,0.000,22.71,22.71,0.00,0,0,-0.04465,22.71,22.71,0.00,0,0,22.71,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,29.09,25.70,3.40,0.121,0.514,1.224,-0.064,2.898,22.71,22,0.4580
73580,0.266,0.204,1.100,0.774,1.100,0.774,1.676,22.80,0.2280,1.887,0.000,22.80,22.80,0.00,0,0,-0.09722,22.80,22.80,0.00,0,0,22.80,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.05,23.63,3.42,0.267,0.573,1.652,-0.001,2.399,22.80,22,0.4516
73709,0.494,0.440,1.100,0.888,1.100,0.888,1.091,20.17,0.2017,2.268,0.000,20.17,20.17,0.00,0,0,-0.14034,20.17,20.17,0.00,0,0,20.17,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.54,19.87,2.66,0.486,0.711,1.612,0.009,1.326,20.17,20,0.4190
73841,0.537,0.532,1.100,0.962,1.100,0.962,0.710,19.43,0.1943,2.485,0.000,19.43,19.43,0.00,0,0,-0.17830,19.43,19.43,0.00,0,0,19.43,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,20.23,17.70,2.53,0.571,0.765,1.500,-0.034,1.036,19.43,19,0.2048
73965,0.492,0.499,1.100,1.010,1.100,1.010,0.462,21.50,0.2150,2.717,0.000,21.50,21.50,0.00,0,0,-0.22220,21.50,21.50,0.00,0,0,21.50,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,21.42,18.45,2.97,0.539,0.734,1.699,-0.048,1.339,21.50,22,-0.0394
74098,0.548,0.530,1.100,1.042,1.100,1.042,0.300,21.71,0.2171,2.927,0.000,21.71,21.71,0.00,0,0,-0.26888,21.71,21.71,0.00,0,0,21.71,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,21.71,18.72,2.98,0.564,0.734,1.976,-0.016,1.351,21.71,21,0.3522
74223,0.635,0.610,1.100,1.062,1.100,1.062,0.195,20.38,0.2038,3.046,0.000,20.38,20.38,0.00,0,0,-0.31145,20.38,20.38,0.00,0,0,20.38,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,20.60,17.96,2.64,0.637,0.771,2.110,-0.002,1.078,20.38,20,-0.0458
74354,0.640,0.636,1.100,1.075,1.100,1.075,0.127,20.22,0.2022,3.108,0.000,20.22,20.22,0.00,0,0,-0.35109,20.22,20.22,0.00,0,0,20.22,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,20.44,17.88,2.56,0.661,0.782,2.203,-0.021,1.015,20.22,21,-0.4601
