ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_residual,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
1096601,0.194,0.192,1.100,0.137,1.100,0.137,3.145,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-13.34,0.00,-13.34,0,1,-13.34,0.00,0.00,0.00,0.00,0.998,1.000,0.00,0,255.00,1,11.65,11.66,-0.02,0.234,0.444,0.000,0.000,1.909,0.00,0,0.0000
1096703,0.098,0.121,1.100,0.359,1.100,0.359,3.621,11.40,0.1863,0.243,0.000,18.63,11.40,7.23,1,0,0.00000,18.63,18.63,0.00,0,0,18.63,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.42,20.75,1.67,0.196,0.564,0.312,-0.089,2.652,11.40,11,0.1000
1096828,0.079,0.086,1.100,0.616,1.100,0.616,2.478,22.25,0.2225,1.008,0.000,22.25,22.25,0.00,0,0,-0.02937,22.25,22.25,0.00,0,0,22.25,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,28.22,24.99,3.23,0.164,0.544,1.181,-0.090,2.597,22.25,22,-0.2139
1096963,0.073,0.075,1.100,0.785,1.100,0.785,1.616,24.34,0.2434,1.728,0.000,24.34,24.34,0.00,0,0,-0.08847,24.34,24.34,0.00,0,0,24.34,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,29.35,25.10,4.25,0.140,0.460,1.955,-0.072,3.629,24.34,24,-0.1120
1097091,0.100,0.096,1.100,0.895,1.100,0.895,1.051,25.67,0.2567,2.338,0.000,25.67,25.67,0.00,0,0,-0.15797,25.67,25.67,0.00,0,0,25.67,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,30.13,25.37,4.76,0.151,0.422,2.548,-0.053,4.227,25.67,26,-0.3941
1097222,0.133,0.123,1.100,0.967,1.100,0.967,0.684,26.64,0.2664,2.847,0.000,26.64,26.64,0.00,0,0,-0.23294,26.64,26.64,0.00,0,0,26.64,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,30.77,25.77,5.00,0.171,0.405,2.994,-0.039,4.532,26.64,27,-0.3494
1097347,0.183,0.168,1.100,1.013,1.100,1.013,0.445,27.24,0.2724,3.261,0.000,27.24,27.24,0.00,0,0,-0.30928,27.24,27.24,0.00,0,0,27.24,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,31.07,26.07,5.00,0.210,0.415,3.306,-0.027,4.458,27.24,27,-0.1413
1097485,0.281,0.253,1.100,1.044,1.100,1.044,0.289,27.21,0.2721,3.579,0.000,27.21,27.21,0.00,0,0,-0.38259,27.21,27.21,0.00,0,0,27.21,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,30.61,25.93,4.68,0.289,0.466,3.467,-0.007,3.852,27.21,27,-0.2809
1097612,0.427,0.384,1.100,1.063,1.100,1.063,0.188,26.23,0.2623,3.786,0.000,26.23,26.23,0.00,0,0,-0.44717,26.23,26.23,0.00,0,0,26.23,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,28.91,24.90,4.02,0.414,0.560,3.431,0.015,2.801,26.23,27,-0.4580
1097743,0.533,0.503,1.100,1.076,1.100,1.076,0.123,24.77,0.2477,3.881,0.000,24.77,24.77,0.00,0,0,-0.50178,24.77,24.77,0.00,0,0,24.77,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.76,23.37,3.38,0.528,0.650,3.264,0.007,1.956,24.77,24,0.3534
1097873,0.602,0.586,1.100,1.084,1.100,1.084,0.080,23.43,0.2343,3.887,0.000,23.43,23.43,0.00,0,0,-0.54827,23.43,23.43,0.00,0,0,23.43,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.85,21.91,2.94,0.608,0.715,3.066,-0.004,1.442,23.43,24,-0.4102
1098002,0.627,0.621,1.100,1.090,1.100,1.090,0.052,22.98,0.2298,3.861,0.000,22.98,22.98,0.00,0,0,-0.59099,22.98,22.98,0.00,0,0,22.98,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.00,21.25,2.76,0.642,0.745,2.958,-0.015,1.238,22.98,23,-0.3438
1098129,0.612,0.616,1.100,1.093,1.100,1.093,0.034,23.53,0.2353,3.852,0.000,23.53,23.53,0.00,0,0,-0.63348,23.53,23.53,0.00,0,0,23.53,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.37,21.57,2.80,0.638,0.744,2.991,-0.026,1.257,23.53,23,0.4943
1098259,0.608,0.610,1.100,1.096,1.100,1.096,0.022,24.10,0.2410,3.869,0.000,24.10,24.10,0.00,0,0,-0.67692,24.10,24.10,0.00,0,0,24.10,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.06,22.21,2.85,0.631,0.736,3.121,-0.024,1.313,24.10,24,0.1947
1098387,0.622,0.616,1.100,1.097,1.100,1.097,0.014,24.32,0.2432,3.898,0.000,24.32,24.32,0.00,0,0,-0.72051,24.32,24.32,0.00,0,0,24.32,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.56,22.73,2.83,0.636,0.733,3.271,-0.015,1.320,24.32,24,0.0786
1098517,0.638,0.632,1.100,1.098,1.100,1.098,0.009,24.27,0.2427,3.919,0.000,24.27,24.27,0.00,0,0,-0.76298,24.27,24.27,0.00,0,0,24.27,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.76,23.01,2.75,0.650,0.738,3.386,-0.012,1.277,24.27,24,0.0326
1098641,0.648,0.645,1.100,1.099,1.100,1.099,0.005,24.38,0.2438,3.939,0.000,24.38,24.38,0.00,0,0,-0.81793,24.38,24.38,0.00,0,0,24.38,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.07,23.39,2.68,0.662,0.742,3.504,-0.014,1.242,24.38,24,0.3571
1098772,0.656,0.654,1.100,1.099,1.100,1.099,0.003,24.58,0.2458,3.960,0.000,24.58,24.58,0.00,0,0,-0.87162,24.58,24.58,0.00,0,0,24.58,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.42,23.78,2.63,0.670,0.745,3.606,-0.013,1.219,24.58,24,0.2888
1098900,0.663,0.661,1.100,1.100,1.100,1.100,0.002,24.72,0.2472,3.979,0.000,24.72,24.72,0.00,0,0,-0.91129,24.72,24.72,0.00,0,0,24.72,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.66,24.06,2.60,0.676,0.747,3.677,-0.012,1.201,24.72,24,0.3240
1099030,0.672,0.670,1.100,1.100,1.100,1.100,0.001,24.78,0.2478,3.995,0.000,24.78,24.78,0.00,0,0,-0.95018,24.78,24.78,0.00,0,0,24.78,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.79,24.24,2.55,0.684,0.752,3.732,-0.012,1.168,24.78,25,-0.4242
