ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
2050218,0.000,0.000,1.100,0.100,1.100,0.100,3.335,5.70,0.1856,0.084,0.000,18.56,5.70,12.86,1,0,0.00000,18.56,18.56,0.00,0,0,18.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,16.62,15.75,0.87,0.059,0.349,0.107,0.978,0.000,0.000,2.072,5.70,6,-0.3000
2050320,0.000,0.000,1.100,0.332,1.100,0.332,3.764,17.10,0.2051,0.477,0.000,20.51,17.10,3.41,1,0,0.00000,20.51,20.51,0.00,0,0,20.51,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.38,25.16,2.22,0.082,0.483,0.595,2.933,-0.077,-0.006,3.021,17.10,17,0.2000
2050455,0.018,0.009,1.100,0.598,1.100,0.598,2.571,23.03,0.2303,1.270,0.000,23.03,23.03,0.00,0,0,-0.04629,23.03,23.03,0.00,0,0,23.03,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,30.42,26.73,3.69,0.073,0.386,1.535,3.878,-0.062,-0.015,4.011,23.03,23,0.0191
2050585,0.118,0.095,1.100,0.774,1.100,0.774,1.676,24.17,0.2417,1.933,0.000,24.17,24.17,0.00,0,0,-0.10503,24.17,24.17,0.00,0,0,24.17,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,29.94,25.76,4.19,0.142,0.370,2.146,3.544,-0.026,-0.017,4.280,24.17,24,0.4801
2050716,0.266,0.228,1.100,0.888,1.100,0.888,1.091,24.21,0.2421,2.446,0.000,24.21,24.21,0.00,0,0,-0.16513,24.21,24.21,0.00,0,0,24.21,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,28.38,24.35,4.03,0.264,0.441,2.418,2.916,0.002,-0.015,3.562,24.21,24,0.1438
2050842,0.431,0.381,1.100,0.962,1.100,0.962,0.710,23.18,0.2318,2.802,0.000,23.18,23.18,0.00,0,0,-0.22007,23.18,23.18,0.00,0,0,23.18,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,25.87,22.36,3.51,0.411,0.559,2.422,2.209,0.023,-0.010,2.474,23.18,23,-0.0359
2050974,0.526,0.497,1.100,1.010,1.100,1.010,0.462,21.93,0.2193,3.016,0.000,21.93,21.93,0.00,0,0,-0.26816,21.93,21.93,0.00,0,0,21.93,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.43,20.36,3.07,0.523,0.652,2.292,1.919,0.004,-0.008,1.749,21.93,22,0.0011
2051099,0.566,0.561,1.100,1.049,1.100,1.049,0.260,21.56,0.2156,3.176,0.000,21.56,21.56,0.00,0,0,-0.32691,21.56,21.56,0.00,0,0,21.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.12,19.21,2.90,0.584,0.693,2.233,2.358,-0.017,-0.008,1.485,21.56,22,0.0101
2051230,0.556,0.558,1.100,1.067,1.100,1.067,0.169,22.32,0.2232,3.285,0.000,22.32,22.32,0.00,0,0,-0.37199,22.32,22.32,0.00,0,0,22.32,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,22.78,19.75,3.03,0.578,0.672,2.399,2.991,-0.023,-0.010,1.637,22.32,22,0.1370
2051361,0.566,0.564,1.100,1.079,1.100,1.079,0.110,22.77,0.2277,3.390,0.000,22.77,22.77,0.00,0,0,-0.41819,22.77,22.77,0.00,0,0,22.77,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.53,20.45,3.08,0.580,0.658,2.640,3.301,-0.015,-0.011,1.728,22.77,23,0.0478
2051492,0.592,0.589,1.100,1.088,1.100,1.088,0.062,22.84,0.2284,3.499,0.000,22.84,22.84,0.00,0,0,-0.47863,22.84,22.84,0.00,0,0,22.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.04,21.05,2.99,0.601,0.662,2.902,3.393,-0.010,-0.010,1.688,22.84,23,0.1845
2051620,0.617,0.611,1.100,1.092,1.100,1.092,0.040,22.72,0.2272,3.555,0.000,22.72,22.72,0.00,0,0,-0.52243,22.72,22.72,0.00,0,0,22.72,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.19,21.30,2.89,0.621,0.673,3.041,3.379,-0.005,-0.009,1.603,22.72,22,0.4137
2051755,0.625,0.622,1.100,1.095,1.100,1.095,0.026,22.84,0.2284,3.599,0.000,22.84,22.84,0.00,0,0,-0.56526,22.84,22.84,0.00,0,0,22.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.49,21.65,2.85,0.631,0.677,3.159,3.471,-0.006,-0.009,1.573,22.84,23,-0.1864
2051880,0.636,0.634,1.100,1.097,1.100,1.097,0.015,23.03,0.2303,3.648,0.000,23.03,23.03,0.00,0,0,-0.62118,23.03,23.03,0.00,0,0,23.03,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.88,22.09,2.79,0.642,0.682,3.295,3.570,-0.006,-0.009,1.534,23.03,24,-0.4819
2052011,0.642,0.639,1.100,1.098,1.100,1.098,0.010,23.24,0.2324,3.683,0.000,23.24,23.24,0.00,0,0,-0.66261,23.24,23.24,0.00,0,0,23.24,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.23,22.46,2.77,0.647,0.684,3.393,3.650,-0.004,-0.008,1.521,23.24,23,0.0108
2052136,0.653,0.651,1.100,1.099,1.100,1.099,0.006,23.25,0.2325,3.711,0.000,23.25,23.25,0.00,0,0,-0.70311,23.25,23.25,0.00,0,0,23.25,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.35,22.65,2.70,0.658,0.694,3.462,3.642,-0.006,-0.007,1.456,23.25,24,-0.3603
2052270,0.662,0.662,1.100,1.099,1.100,1.099,0.004,23.40,0.2340,3.741,0.000,23.40,23.40,0.00,0,0,-0.75584,23.40,23.40,0.00,0,0,23.40,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.57,22.92,2.64,0.669,0.703,3.532,3.693,-0.007,-0.007,1.399,23.40,24,-0.2176
2052397,0.669,0.669,1.100,1.100,1.100,1.100,0.002,23.63,0.2363,3.774,0.000,23.63,23.63,0.00,0,0,-0.80784,23.63,23.63,0.00,0,0,23.63,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.86,23.26,2.60,0.675,0.708,3.606,3.756,-0.006,-0.007,1.365,23.63,24,-0.0632
2052529,0.685,0.683,1.100,1.100,1.100,1.100,0.001,23.72,0.2372,3.808,0.000,23.72,23.72,0.00,0,0,-0.87113,23.72,23.72,0.00,0,0,23.72,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.99,23.48,2.51,0.690,0.721,3.668,3.752,-0.005,-0.006,1.283,23.72,23,0.3158
2052659,0.695,0.693,1.100,1.100,1.100,1.100,0.001,23.73,0.2373,3.823,0.000,23.73,23.73,0.00,0,0,-0.90801,23.73,23.73,0.00,0,0,23.73,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.99,23.54,2.46,0.699,0.730,3.688,3.741,-0.004,-0.005,1.225,23.73,23,0.4491
2052793,0.702,0.701,1.100,1.100,1.100,1.100,0.000,23.87,0.2387,3.841,0.000,23.87,23.87,0.00,0,0,-0.95615,23.87,23.87,0.00,0,0,23.87,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.09,23.69,2.41,0.707,0.738,3.715,3.782,-0.005,-0.005,1.175,23.87,24,-0.3832
2052917,0.703,0.704,1.100,1.100,1.100,1.100,0.000,24.08,0.2408,3.857,0.000,24.08,24.08,0.00,0,0,-0.99182,24.08,24.08,0.00,0,0,24.08,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.28,23.89,2.39,0.710,0.741,3.745,3.845,-0.007,-0.005,1.158,24.08,25,-0.4307
2053052,0.710,0.710,1.100,1.100,1.100,1.100,0.000,24.26,0.2426,3.882,0.000,24.26,24.26,0.00,0,0,-1.03875,24.26,24.26,0.00,0,0,24.26,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.46,24.11,2.35,0.716,0.746,3.786,3.881,-0.006,-0.005,1.125,24.26,24,0.2003
2053176,0.726,0.724,1.100,1.100,1.100,1.100,0.000,24.10,0.2410,3.892,0.000,24.10,24.10,0.00,0,0,-1.07291,24.10,24.10,0.00,0,0,24.10,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.30,24.03,2.27,0.729,0.758,3.792,3.800,-0.004,-0.005,1.054,24.10,25,-0.4760
2053307,0.734,0.733,1.100,1.100,1.100,1.100,0.000,24.06,0.2406,3.897,0.000,24.06,24.06,0.00,0,0,-1.10616,24.06,24.06,0.00,0,0,24.06,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.21,24.00,2.21,0.739,0.768,3.788,3.786,-0.004,-0.004,0.998,24.06,24,-0.3509
2053434,0.731,0.730,1.100,1.100,1.100,1.100,0.000,24.44,0.2444,3.912,0.000,24.44,24.44,0.00,0,0,-1.13941,24.44,24.44,0.00,0,0,24.44,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.52,24.29,2.23,0.736,0.766,3.816,3.918,-0.005,-0.005,1.008,24.44,25,-0.3812
2053567,0.743,0.737,1.100,1.100,1.100,1.100,0.000,24.46,0.2446,3.930,0.000,24.46,24.46,0.00,0,0,-1.17243,24.46,24.46,0.00,0,0,24.46,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.58,24.39,2.19,0.743,0.771,3.847,3.892,-0.000,-0.004,0.977,24.46,24,0.1431
2053694,0.761,0.755,1.100,1.100,1.100,1.100,0.000,24.08,0.2408,3.930,0.000,24.08,24.08,0.00,0,0,-1.20397,24.08,24.08,0.00,0,0,24.08,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.21,24.13,2.08,0.760,0.786,3.829,3.747,0.001,-0.004,0.892,24.08,24,-0.2715
2053825,0.767,0.768,1.100,1.100,1.100,1.100,0.000,23.86,0.2386,3.916,0.000,23.86,23.86,0.00,0,0,-1.23406,23.86,23.86,0.00,0,0,23.86,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.89,23.89,2.00,0.773,0.799,3.787,3.705,-0.005,-0.004,0.824,23.86,24,0.2699
2053953,0.774,0.774,1.100,1.100,1.100,1.100,0.000,23.88,0.2388,3.906,0.000,23.88,23.88,0.00,0,0,-1.26361,23.88,23.88,0.00,0,0,23.88,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.82,23.85,1.97,0.779,0.805,3.769,3.737,-0.005,-0.004,0.787,23.88,24,-0.1099
2054084,0.802,0.794,1.100,1.100,1.100,1.100,0.000,23.30,0.2330,3.884,0.000,23.30,23.30,0.00,0,0,-1.29184,23.30,23.30,0.00,0,0,23.30,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,25.25,23.41,1.84,0.799,0.823,3.727,3.558,0.003,-0.003,0.701,23.30,24,-0.4749
2054210,0.819,0.814,1.100,1.100,1.100,1.100,0.000,22.74,0.2274,3.843,0.000,22.74,22.74,0.00,0,0,-1.31821,22.74,22.74,0.00,0,0,22.74,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.61,22.88,1.73,0.818,0.840,3.651,3.428,0.001,-0.003,0.618,22.74,22,0.3287
2054342,0.822,0.821,1.100,1.100,1.100,1.100,0.000,22.66,0.2266,3.799,0.000,22.66,22.66,0.00,0,0,-1.34345,22.66,22.66,0.00,0,0,22.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.35,22.67,1.68,0.825,0.849,3.591,3.473,-0.003,-0.003,0.575,22.66,22,0.2162
2054468,0.833,0.830,1.100,1.100,1.100,1.100,0.000,22.47,0.2247,3.761,0.000,22.47,22.47,0.00,0,0,-1.36805,22.47,22.47,0.00,0,0,22.47,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,24.09,22.46,1.63,0.835,0.859,3.554,3.459,-0.002,-0.002,0.532,22.47,23,-0.1868
2054602,0.857,0.852,1.100,1.100,1.100,1.100,0.000,21.68,0.2168,3.707,0.000,21.68,21.68,0.00,0,0,-1.39094,21.68,21.68,0.00,0,0,21.68,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.31,21.82,1.49,0.857,0.878,3.480,3.257,0.001,-0.002,0.456,21.68,22,-0.4651
2054728,0.866,0.865,1.100,1.100,1.100,1.100,0.000,21.28,0.2128,3.643,0.000,21.28,21.28,0.00,0,0,-1.41233,21.28,21.28,0.00,0,0,21.28,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,22.78,21.37,1.41,0.869,0.890,3.398,3.213,-0.003,-0.002,0.407,21.28,22,-0.4562
2054864,0.871,0.870,1.100,1.100,1.100,1.100,0.000,21.22,0.2122,3.591,0.000,21.22,21.22,0.00,0,0,-1.43320,21.22,21.22,0.00,0,0,21.22,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,22.59,21.21,1.38,0.874,0.896,3.354,3.257,-0.003,-0.002,0.383,21.22,21,0.3096
2054990,0.892,0.886,1.100,1.100,1.100,1.100,0.000,20.66,0.2066,3.537,0.000,20.66,20.66,0.00,0,0,-1.45304,20.66,20.66,0.00,0,0,20.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,22.04,20.75,1.29,0.889,0.908,3.303,3.125,0.002,-0.001,0.340,20.66,21,-0.0008
2055122,0.911,0.904,1.100,1.100,1.100,1.100,0.000,19.99,0.1999,3.450,0.000,19.99,19.99,0.00,0,0,-1.47733,19.99,19.99,0.00,0,0,19.99,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,21.29,20.11,1.18,0.908,0.925,3.208,3.005,0.004,-0.001,0.284,19.99,20,-0.0990
2055250,0.908,0.907,1.100,1.100,1.100,1.100,0.000,20.09,0.2009,3.367,0.000,20.09,20.09,0.00,0,0,-1.50647,20.09,20.09,0.00,0,0,20.09,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,21.18,20.02,1.16,0.911,0.930,3.156,3.122,-0.003,-0.001,0.265,20.09,20,0.1751
2055382,0.913,0.913,1.100,1.100,1.100,1.100,0.000,19.97,0.1997,3.331,0.000,19.97,19.97,0.00,0,0,-1.52355,19.97,19.97,0.00,0,0,19.97,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,21.05,19.92,1.13,0.916,0.933,3.145,3.109,-0.003,-0.002,0.254,19.97,20,0.2780
2055509,0.940,0.934,1.100,1.100,1.100,1.100,0.000,19.06,0.1906,3.277,0.000,19.06,19.06,0.00,0,0,-1.53917,19.06,19.06,0.00,0,0,19.06,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,20.26,19.25,1.00,0.936,0.949,3.084,2.866,0.004,-0.001,0.211,19.06,19,0.3856
2055640,0.947,0.945,1.100,1.100,1.100,1.100,0.000,18.58,0.1858,3.209,0.000,18.58,18.58,0.00,0,0,-1.55329,18.58,18.58,0.00,0,0,18.58,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,19.68,18.74,0.93,0.948,0.962,2.998,2.794,-0.001,-0.001,0.179,18.58,18,0.3598
